city,gross_salary,monthly_takehome,monthly_rent,monthly_transport,monthly_disposable,rent_pct_takehome,annual_savings
London,20000,1468.53,2121.0,165,-817.47,144.4,-9809.64
London,25000,1751.87,2121.0,165,-534.13,121.1,-6409.56
London,30000,2035.2,2121.0,165,-250.8,104.2,-3009.6
London,35000,2318.53,2121.0,165,32.53,91.5,390.36
London,40000,2601.87,2121.0,165,315.87,81.5,3790.44
London,45000,2885.2,2121.0,165,599.2,73.5,7190.4
London,50000,3168.53,2121.0,165,882.53,66.9,10590.36
London,55000,3412.45,2121.0,165,1126.45,62.2,13517.4
London,60000,3654.12,2121.0,165,1368.12,58.0,16417.44
London,65000,3895.78,2121.0,165,1609.78,54.4,19317.36
London,70000,4137.45,2121.0,165,1851.45,51.3,22217.4
London,75000,4379.12,2121.0,165,2093.12,48.4,25117.44
London,80000,4620.78,2121.0,165,2334.78,45.9,28017.36
London,85000,4862.45,2121.0,165,2576.45,43.6,30917.4
London,90000,5104.12,2121.0,165,2818.12,41.6,33817.44
London,95000,5345.78,2121.0,165,3059.78,39.7,36717.36
London,100000,5587.45,2121.0,165,3301.45,38.0,39617.4
Manchester,20000,1468.53,1100.0,75,293.53,74.9,3522.36
Manchester,25000,1751.87,1100.0,75,576.87,62.8,6922.44
Manchester,30000,2035.2,1100.0,75,860.2,54.0,10322.4
Manchester,35000,2318.53,1100.0,75,1143.53,47.4,13722.36
Manchester,40000,2601.87,1100.0,75,1426.87,42.3,17122.44
Manchester,45000,2885.2,1100.0,75,1710.2,38.1,20522.4
Manchester,50000,3168.53,1100.0,75,1993.53,34.7,23922.36
Manchester,55000,3412.45,1100.0,75,2237.45,32.2,26849.4
Manchester,60000,3654.12,1100.0,75,2479.12,30.1,29749.44
Manchester,65000,3895.78,1100.0,75,2720.78,28.2,32649.36
Manchester,70000,4137.45,1100.0,75,2962.45,26.6,35549.4
Manchester,75000,4379.12,1100.0,75,3204.12,25.1,38449.44
Manchester,80000,4620.78,1100.0,75,3445.78,23.8,41349.36
Manchester,85000,4862.45,1100.0,75,3687.45,22.6,44249.4
Manchester,90000,5104.12,1100.0,75,3929.12,21.6,47149.44
Manchester,95000,5345.78,1100.0,75,4170.78,20.6,50049.36
Manchester,100000,5587.45,1100.0,75,4412.45,19.7,52949.4
Birmingham,20000,1468.53,1050.0,70,348.53,71.5,4182.36
Birmingham,25000,1751.87,1050.0,70,631.87,59.9,7582.44
Birmingham,30000,2035.2,1050.0,70,915.2,51.6,10982.4
Birmingham,35000,2318.53,1050.0,70,1198.53,45.3,14382.36
Birmingham,40000,2601.87,1050.0,70,1481.87,40.4,17782.44
Birmingham,45000,2885.2,1050.0,70,1765.2,36.4,21182.4
Birmingham,50000,3168.53,1050.0,70,2048.53,33.1,24582.36
Birmingham,55000,3412.45,1050.0,70,2292.45,30.8,27509.4
Birmingham,60000,3654.12,1050.0,70,2534.12,28.7,30409.44
Birmingham,65000,3895.78,1050.0,70,2775.78,27.0,33309.36
Birmingham,70000,4137.45,1050.0,70,3017.45,25.4,36209.4
Birmingham,75000,4379.12,1050.0,70,3259.12,24.0,39109.44
Birmingham,80000,4620.78,1050.0,70,3500.78,22.7,42009.36
Birmingham,85000,4862.45,1050.0,70,3742.45,21.6,44909.4
Birmingham,90000,5104.12,1050.0,70,3984.12,20.6,47809.44
Birmingham,95000,5345.78,1050.0,70,4225.78,19.6,50709.36
Birmingham,100000,5587.45,1050.0,70,4467.45,18.8,53609.4
Leeds,20000,1468.53,1000.0,65,403.53,68.1,4842.36
Leeds,25000,1751.87,1000.0,65,686.87,57.1,8242.44
Leeds,30000,2035.2,1000.0,65,970.2,49.1,11642.4
Leeds,35000,2318.53,1000.0,65,1253.53,43.1,15042.36
Leeds,40000,2601.87,1000.0,65,1536.87,38.4,18442.44
Leeds,45000,2885.2,1000.0,65,1820.2,34.7,21842.4
Leeds,50000,3168.53,1000.0,65,2103.53,31.6,25242.36
Leeds,55000,3412.45,1000.0,65,2347.45,29.3,28169.4
Leeds,60000,3654.12,1000.0,65,2589.12,27.4,31069.44
Leeds,65000,3895.78,1000.0,65,2830.78,25.7,33969.36
Leeds,70000,4137.45,1000.0,65,3072.45,24.2,36869.4
Leeds,75000,4379.12,1000.0,65,3314.12,22.8,39769.44
Leeds,80000,4620.78,1000.0,65,3555.78,21.6,42669.36
Leeds,85000,4862.45,1000.0,65,3797.45,20.6,45569.4
Leeds,90000,5104.12,1000.0,65,4039.12,19.6,48469.44
