city,local_authority,median_annual_salary,salary_source
London,London,47441.0,ONS ASHE Table 7.7a 2024
Manchester,Manchester,34531.0,ONS ASHE Table 7.7a 2024
Birmingham,Birmingham,37295.0,ONS ASHE Table 7.7a 2024
Leeds,Leeds,36770.0,ONS ASHE Table 7.7a 2024
Bristol,"Bristol, City of",39441.0,ONS ASHE Table 7.7a 2024
Edinburgh,City of Edinburgh,41529.0,ONS ASHE Table 7.7a 2024
Newcastle,Newcastle upon Tyne,35212.0,ONS ASHE Table 7.7a 2024
Cardiff,Cardiff,36199.0,ONS ASHE Table 7.7a 2024
Sheffield,Sheffield,36402.0,ONS ASHE Table 7.7a 2024
Liverpool,Liverpool,36579.0,ONS ASHE Table 7.7a 2024
